// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc
// command took 3.01s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc
// command took 5.69s and exited with 0
// ***** Done, took 00:00:08 (8.91 sec)   *****
// Found 6 benchmarks:
//   MappingBenchmarks.ManualMapOpFor: DefaultJob
//   MappingBenchmarks.ExpressMapper: DefaultJob
//   MappingBenchmarks.AutoMapper: DefaultJob
//   MappingBenchmarks.MapsterAdaptWithoutConfig: DefaultJob
//   MappingBenchmarks.MapsterAdaptWithConfig: DefaultJob
//   MappingBenchmarks.MapsterAdaptToType: DefaultJob

// **************************
// Benchmark: MappingBenchmarks.ManualMapOpFor: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ce406b45-7557-4458-8f12-b15d7628b2cc.dll" --benchmarkName "MappingExperiments.MappingBenchmarks.ManualMapOpFor" --job "Default" --benchmarkId 0 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.3 (CoreCLR 5.0.321.7212, CoreFX 5.0.321.7212), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 737600.00 ns, 737.6000 us/op
WorkloadJitting  1: 1 op, 390378000.00 ns, 390.3780 ms/op

WorkloadWarmup   1: 1 op, 14900.00 ns, 14.9000 us/op
WorkloadWarmup   2: 1 op, 9600.00 ns, 9.6000 us/op
WorkloadWarmup   3: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadWarmup   4: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadWarmup   5: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadWarmup   6: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadWarmup   7: 1 op, 11500.00 ns, 11.5000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 9300.00 ns, 9.3000 us/op
WorkloadActual   2: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadActual   3: 1 op, 10100.00 ns, 10.1000 us/op
WorkloadActual   4: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadActual   5: 1 op, 9000.00 ns, 9.0000 us/op
WorkloadActual   6: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadActual   7: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadActual   8: 1 op, 8700.00 ns, 8.7000 us/op
WorkloadActual   9: 1 op, 7300.00 ns, 7.3000 us/op
WorkloadActual  10: 1 op, 9200.00 ns, 9.2000 us/op
WorkloadActual  11: 1 op, 13900.00 ns, 13.9000 us/op
WorkloadActual  12: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadActual  13: 1 op, 14200.00 ns, 14.2000 us/op
WorkloadActual  14: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadActual  15: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadActual  16: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadActual  17: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadActual  18: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadActual  19: 1 op, 9500.00 ns, 9.5000 us/op
WorkloadActual  20: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadActual  21: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  22: 1 op, 15300.00 ns, 15.3000 us/op
WorkloadActual  23: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadActual  24: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadActual  25: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadActual  26: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  27: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadActual  28: 1 op, 15900.00 ns, 15.9000 us/op
WorkloadActual  29: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadActual  30: 1 op, 8900.00 ns, 8.9000 us/op
WorkloadActual  31: 1 op, 9500.00 ns, 9.5000 us/op
WorkloadActual  32: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadActual  33: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  34: 1 op, 9800.00 ns, 9.8000 us/op
WorkloadActual  35: 1 op, 9700.00 ns, 9.7000 us/op
WorkloadActual  36: 1 op, 14900.00 ns, 14.9000 us/op
WorkloadActual  37: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadActual  38: 1 op, 9300.00 ns, 9.3000 us/op
WorkloadActual  39: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadActual  40: 1 op, 7200.00 ns, 7.2000 us/op
WorkloadActual  41: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadActual  42: 1 op, 7300.00 ns, 7.3000 us/op
WorkloadActual  43: 1 op, 5600.00 ns, 5.6000 us/op
WorkloadActual  44: 1 op, 8200.00 ns, 8.2000 us/op
WorkloadActual  45: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  46: 1 op, 8500.00 ns, 8.5000 us/op
WorkloadActual  47: 1 op, 10600.00 ns, 10.6000 us/op
WorkloadActual  48: 1 op, 5700.00 ns, 5.7000 us/op
WorkloadActual  49: 1 op, 9500.00 ns, 9.5000 us/op
WorkloadActual  50: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  51: 1 op, 15000.00 ns, 15.0000 us/op
WorkloadActual  52: 1 op, 15500.00 ns, 15.5000 us/op
WorkloadActual  53: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadActual  54: 1 op, 15600.00 ns, 15.6000 us/op
WorkloadActual  55: 1 op, 10100.00 ns, 10.1000 us/op
WorkloadActual  56: 1 op, 13600.00 ns, 13.6000 us/op
WorkloadActual  57: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadActual  58: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadActual  59: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  60: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadActual  61: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadActual  62: 1 op, 9800.00 ns, 9.8000 us/op
WorkloadActual  63: 1 op, 7800.00 ns, 7.8000 us/op
WorkloadActual  64: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  65: 1 op, 5500.00 ns, 5.5000 us/op
WorkloadActual  66: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual  67: 1 op, 28700.00 ns, 28.7000 us/op
WorkloadActual  68: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  69: 1 op, 6600.00 ns, 6.6000 us/op
WorkloadActual  70: 1 op, 4700.00 ns, 4.7000 us/op
WorkloadActual  71: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadActual  72: 1 op, 8800.00 ns, 8.8000 us/op
WorkloadActual  73: 1 op, 9200.00 ns, 9.2000 us/op
WorkloadActual  74: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadActual  75: 1 op, 9700.00 ns, 9.7000 us/op
WorkloadActual  76: 1 op, 13800.00 ns, 13.8000 us/op
WorkloadActual  77: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadActual  78: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  79: 1 op, 13300.00 ns, 13.3000 us/op
WorkloadActual  80: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  81: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadActual  82: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadActual  83: 1 op, 12800.00 ns, 12.8000 us/op
WorkloadActual  84: 1 op, 13000.00 ns, 13.0000 us/op
WorkloadActual  85: 1 op, 16600.00 ns, 16.6000 us/op
WorkloadActual  86: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  87: 1 op, 13000.00 ns, 13.0000 us/op
WorkloadActual  88: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadActual  89: 1 op, 15500.00 ns, 15.5000 us/op
WorkloadActual  90: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadActual  91: 1 op, 15600.00 ns, 15.6000 us/op
WorkloadActual  92: 1 op, 17200.00 ns, 17.2000 us/op
WorkloadActual  93: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadActual  94: 1 op, 14600.00 ns, 14.6000 us/op
WorkloadActual  95: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadActual  96: 1 op, 19300.00 ns, 19.3000 us/op
WorkloadActual  97: 1 op, 14800.00 ns, 14.8000 us/op
WorkloadActual  98: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadActual  99: 1 op, 12800.00 ns, 12.8000 us/op
WorkloadActual  100: 1 op, 11700.00 ns, 11.7000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 9300.00 ns, 9.3000 us/op
WorkloadResult   2: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadResult   3: 1 op, 10100.00 ns, 10.1000 us/op
WorkloadResult   4: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadResult   5: 1 op, 9000.00 ns, 9.0000 us/op
WorkloadResult   6: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult   7: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult   8: 1 op, 8700.00 ns, 8.7000 us/op
WorkloadResult   9: 1 op, 7300.00 ns, 7.3000 us/op
WorkloadResult  10: 1 op, 9200.00 ns, 9.2000 us/op
WorkloadResult  11: 1 op, 13900.00 ns, 13.9000 us/op
WorkloadResult  12: 1 op, 11300.00 ns, 11.3000 us/op
